timestamp,vehicle_count,location,avg_speed,congestion_level
2012-10-02 09:00:00,5545,I-94 Highway,20.0,high
2012-10-02 10:00:00,4516,I-94 Highway,20.0,high
2012-10-02 11:00:00,4767,I-94 Highway,20.0,high
2012-10-02 12:00:00,5026,I-94 Highway,20.0,high
2012-10-02 13:00:00,4918,I-94 Highway,20.0,high
2012-10-02 14:00:00,5181,I-94 Highway,20.0,high
2012-10-02 15:00:00,5584,I-94 Highway,20.0,high
2012-10-02 16:00:00,6015,I-94 Highway,20.0,high
2012-10-02 17:00:00,5791,I-94 Highway,20.0,high
2012-10-02 18:00:00,4770,I-94 Highway,20.0,high
2012-10-02 19:00:00,3539,I-94 Highway,20.0,high
2012-10-02 20:00:00,2784,I-94 Highway,20.0,high
2012-10-02 21:00:00,2361,I-94 Highway,20.0,high
2012-10-02 22:00:00,1529,I-94 Highway,20.0,high
2012-10-02 23:00:00,963,I-94 Highway,20.0,high
2012-10-03 00:00:00,506,I-94 Highway,49.4,high
2012-10-03 01:00:00,321,I-94 Highway,67.9,medium
2012-10-03 02:00:00,273,I-94 Highway,72.7,medium
2012-10-03 03:00:00,367,I-94 Highway,63.3,medium
2012-10-03 04:00:00,814,I-94 Highway,20.0,high
2012-10-03 05:00:00,2718,I-94 Highway,20.0,high
2012-10-03 06:00:00,5673,I-94 Highway,20.0,high
2012-10-03 08:00:00,6511,I-94 Highway,20.0,high
2012-10-03 09:00:00,5471,I-94 Highway,20.0,high
2012-10-03 12:00:00,5097,I-94 Highway,20.0,high
2012-10-03 13:00:00,4887,I-94 Highway,20.0,high
2012-10-03 14:00:00,5337,I-94 Highway,20.0,high
2012-10-03 15:00:00,5692,I-94 Highway,20.0,high
2012-10-03 16:00:00,6137,I-94 Highway,20.0,high
2012-10-03 18:00:00,4623,I-94 Highway,20.0,high
2012-10-03 19:00:00,3591,I-94 Highway,20.0,high
2012-10-03 20:00:00,2898,I-94 Highway,20.0,high
2012-10-03 21:00:00,2637,I-94 Highway,20.0,high
2012-10-03 22:00:00,1777,I-94 Highway,20.0,high
2012-10-03 23:00:00,1015,I-94 Highway,20.0,high
2012-10-04 00:00:00,598,I-94 Highway,40.199999999999996,high
2012-10-04 01:00:00,369,I-94 Highway,63.1,medium
2012-10-04 02:00:00,312,I-94 Highway,68.8,medium
2012-10-04 03:00:00,367,I-94 Highway,63.3,medium
2012-10-04 04:00:00,835,I-94 Highway,20.0,high
2012-10-04 05:00:00,2726,I-94 Highway,20.0,high
2012-10-04 06:00:00,5689,I-94 Highway,20.0,high
2012-10-04 07:00:00,6990,I-94 Highway,20.0,high
2012-10-04 08:00:00,5985,I-94 Highway,20.0,high
2012-10-04 09:00:00,5309,I-94 Highway,20.0,high
2012-10-04 10:00:00,4603,I-94 Highway,20.0,high
2012-10-04 11:00:00,4884,I-94 Highway,20.0,high
2012-10-04 12:00:00,5104,I-94 Highway,20.0,high
2012-10-04 13:00:00,5178,I-94 Highway,20.0,high
2012-10-04 14:00:00,5501,I-94 Highway,20.0,high
2012-10-04 15:00:00,5713,I-94 Highway,20.0,high
2012-10-04 16:00:00,6292,I-94 Highway,20.0,high
2012-10-04 17:00:00,6057,I-94 Highway,20.0,high
2012-10-04 18:00:00,4907,I-94 Highway,20.0,high
2012-10-04 19:00:00,3503,I-94 Highway,20.0,high
2012-10-04 20:00:00,3037,I-94 Highway,20.0,high
2012-10-04 21:00:00,2822,I-94 Highway,20.0,high
2012-10-04 22:00:00,1992,I-94 Highway,20.0,high
2012-10-04 23:00:00,1166,I-94 Highway,20.0,high
2012-10-05 00:00:00,627,I-94 Highway,37.3,high
2012-10-05 01:00:00,388,I-94 Highway,61.199999999999996,medium
2012-10-05 03:00:00,368,I-94 Highway,63.199999999999996,medium
2012-10-05 05:00:00,2489,I-94 Highway,20.0,high
2012-10-05 06:00:00,5537,I-94 Highway,20.0,high
2012-10-05 07:00:00,6628,I-94 Highway,20.0,high
2012-10-05 08:00:00,5534,I-94 Highway,20.0,high
2012-10-05 09:00:00,5403,I-94 Highway,20.0,high
2012-10-05 10:00:00,4770,I-94 Highway,20.0,high
2012-10-05 11:00:00,5217,I-94 Highway,20.0,high
2012-10-05 12:00:00,5870,I-94 Highway,20.0,high
2012-10-05 13:00:00,5967,I-94 Highway,20.0,high
2012-10-05 14:00:00,6108,I-94 Highway,20.0,high
2012-10-05 15:00:00,6128,I-94 Highway,20.0,high
2012-10-05 16:00:00,6069,I-94 Highway,20.0,high
